rest_area_name,rest_area_number,responsible_authority,,,category,,vehicle_type
,1425,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Nyngan-West approach-Northwest bound,1060,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Near Lightening Ridge,1770,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Pearsons Lookout,562,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tapalin Rest Area - Eastbound,263,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gowan North Rest Area,1193,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Clybucca Northbound,4010,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gingers Creek,637,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Former RTA Weighbridge,1373,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Deni Rest Area,3032,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Glenbrook Oval,939,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Garryowen,30,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Stopping Area Wollogorang,318,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1359,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Parking Baxters Lane,333,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mail Route Rest Area,265,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1773,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1548,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1391,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Bundjalung - Devils Pulpit SF,3282,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Braefield,1786,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Schmidts Lane,295,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,759,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Crookwell River near Laggan Street,1276,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Edrom Rd Rest Area S/B,3009,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tom Groggin Rest Area,400,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Lions Park - Walcha,1962,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,4117,RMS,,,INFORMAL PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,739,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
First Fleet Memorial Garden Wallabadah,1929,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Back Creek - South Bound,2004,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,685,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Willowvale,3038,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wheatley VC Rest Area,322,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
French VC,16,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
River Lett Hill (left),957,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
North of Tomingley Creek,989,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Little Thredbo River Rest Area W/B,385,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Area Sth of Sallys Cnr S/B,88,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Bundarra Road - Cunningham Park,1921,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Marsden Rest Area-North Bound,782,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1739,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Australia Day Park - Barraba,1828,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
