rest_area_name,rest_area_number,responsible_authority,,,category,,vehicle_type
Brown Mtn Coupling Bay W/B,366,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
East of Little Plain,1144,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Spingdale,2013,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Nyngan-West approach-Southeast bound,1061,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Truck Parking Sign,933,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1423,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Mt Ousley Day Park Old Mt Ousley Rd,378,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Kyogle Apex Park,1843,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Lochinvar Forest Park,3133,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Memorial Park Goolagong,1238,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Jenolan State Forest,1635,OTHER,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
West Dubbo Airport,1043,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
1.3km Nth of Sierra Rd Yerrinbool N/B,26,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Mossgiel (MR80 Junction),1550,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Borella VC Rest Area,3316,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gwyder River Parking Area,1169,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Information Bay West of Jindabyne,384,NATIONAL PARKS AND WILDLIFE SERVICE,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Cato Bridge Rest Area,1778,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1357,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Abbotts Tank Rest Area,260,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Sandy Creek Rest Area,894,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Nyngan Rotary Park,1059,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Caragabel,844,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Edrom Rd Rest Area N/B,3002,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Golf Club - Eastbound,237,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
BOOROWA DRIVER REVIVER SITE,3315,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Thatchers Lane,1036,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Boat Ramp-Brewarrina,643,OTHER,,,PARKING AREA,,LIGHT VEHICLES ONLY
Halls,912,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Parkes Lions Park,1570,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Information Bay Skitube Park Entrance,391,NATIONAL PARKS AND WILDLIFE SERVICE,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Biddon Rest Area N/B,891,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Area Yarra S/B,6,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Stop Wollogorang N/B,15,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Truck Parking Area Haul Rd,320,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1748,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Rotary/Lions Park - Tamworth,630,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
,1532,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Broula Hill,855,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Bundaburra Creek Bridge,1755,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Sunset Viewing Area,3128,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Bendick Murrell Rest Area,1217,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Chinderah Southbound Service Centre,4007,OTHER,,,HIGHWAY SERVICE CENTRE,,BOTH LIGHT AND HEAVY VEHICLES
Buttenshaw Park Faulconbridge,940,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Marrangaroo-Tunnel Hill,962,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Byrock Rest Area,1102,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Scubby Creek Rest Area N/B,361,STATE FORESTS,,,REST AREA,,LIGHT VEHICLES ONLY
Holmwood,911,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1064,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
East approach-Miandetta,1125,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Newell Falls,573,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Lions Park,1790,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Redbank - Tommy Swamp,1784,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Breelong Rest Area,1392,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Forbes Apex Park,771,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Kyeamba Gap East Rest Area,37,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gerogery Rest Area,3034,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,3131,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Opposite Claremont Lane,994,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
,1342,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,3130,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Shadforth Reserve,1248,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Jindabyne Surge Tank Lookout E/B,3247,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Anderson VC Rest Area,329,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
MILTON REST AREA,3022,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1037,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
New Italy,546,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
John Oxley Rest Area,1768,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Percy Nott Rest Area,931,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1752,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Panai Ave,1761,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
East of Dubbo,1777,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dorrigo Bielsdown River,1833,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Parking Area Sth of Bargo On Ramp S/B,83,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1414,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,684,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Brown Mtn Uncoupling Bay E/B,367,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
,1103,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,4118,RMS,,,INFORMAL PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Rest Area near Victorian Border N/B,370,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1437,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Oxleys Crossing Rest Area,1616,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Spire View Rest Area,3007,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Ravensworth - Westbound,241,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,848,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
NW approach Coolabah Northeast bound,1067,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dicks Creek,755,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Spencers Creek,387,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
,745,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,847,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Five Mile Rest Area-North Bound,786,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
Truck Parking near Lake Williams N/B,3208,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Dunedoo Town,937,COUNCIL,,,PARKING AREA,,HEAVY VEHICLES ONLY
Dinjerra Road - Glenugie,1369,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Kooligun Nature Walk,1918,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1420,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Delo Hill Rest Area,1307,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
West Plains Locality,779,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tapalin Rest Area - Westbound,262,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,949,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mungadal - Westbound,238,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Morris Park,4008,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wiangaree Pond,1793,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Bathurst Hector Park Information Bay,1001,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1030,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1741,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Heritage Park (Bank of Beardy Ck),1091,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Jerrawangala Rest Area S/B,3141,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Yarrangobilly River Rest Area,465,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Tia River,1154,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Berry Park Bathurst,1365,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Rest Area At Town Boundary,249,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Tookey Creek Rest Area,1177,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Dorrigo Mountain Top,572,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Schumachers eastbound,716,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mathoura Rest Area,3026,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Appin Rd E/B Truck Parking Facility,1698,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,858,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Guyra,3303,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Yalgogrin Rest Area,3017,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Wanganella,270,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Spire View Rest Area,3003,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Pevensey Rest Area,240,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Ilkadoon Rd,1260,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
16 Mile Gums,907,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Apsley Falls,1156,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
,1765,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dry Creek Quaama S/B,358,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1619,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Grand Circular Tourist Drive Information Centre,1381,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Castlereagh River Frontage,1763,COUNCIL,,,PARKING AREA,,LIGHT VEHICLES ONLY
Mallee Fowl Rest Area,266,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Deniliquin Information Bay,3031,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
White Street Park - Bingara,1924,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Quota Park,1864,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Ti Tree Creek,676,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Gurley Parking Area,1176,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,851,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Quambone turn off,1678,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Yanco Creek Rest Area,215,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gearys Gap Lookout Lake George,323,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1766,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1291,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Market Square Park,1799,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Lions Park - West Armidale,883,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
,770,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Rotary Park,703,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
West Lyn Rd turn off,1126,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,1641,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1039,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Barrengary Rest Area E/B,383,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1428,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Lithgow Endeavor Park,959,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Stopping Area Donnellys N/B,327,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gowan Rest Area N/B,1194,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1032,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mount Gipps,1334,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Truck Park 2km West of Borambola Sth Rd,205,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Park 2km West of Borambola Sth Rd,206,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mundoonan Rest Area N/B,12,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Uranquinty Rest Area,3036,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
North of Tookey Ck Truck Park,3001,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Parking Area Nr Goulburn Bypass N/B,390,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,749,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Newton VC Rest Area,324,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Ebor Falls Lookout,983,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Parkes Bushmans Dam Kelly Reserve,1758,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Captain Cook Park Rest Area,1960,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Sir William Bridges Rest Area,1184,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
South Narrabri Truck Park,1182,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
south of Bombala Truck Parking,3196,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Charcoal Tank Rest Area,1400,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1738,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Birriwa,1257,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Clybucca Southbound,4011,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,873,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
"KIDMAN WAY, GOOLGOWI",3125,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gilgandra Coo-ee Heritage Centre,898,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Wilcannia Urban Are,1299,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Red Hill North Marulan S/B,90,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Talyawalka Flood Plain,1297,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Woolabrar Rest Area. Near Bellata,1178,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tunnel Hill,558,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Bundaburra Aquatic Area,1754,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Cooinda Park,3095,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Camurra Truck Inspection Bay S/B,1171,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Andersons Creek - The Ponds Comp,1919,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dumboy Creek,1145,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
The Keyhole,1205,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
,1346,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
,569,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Popiltah Lake Rest Area,245,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
20 Mile Gums,2008,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Sallys Cnr Service Centre N/B,22,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Yarrangobilly River Rest Area,464,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Ilford Coach Stop & Information Bay,567,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Lions Park - Barraba,669,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Trentham Rest Area,267,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gowan Rest Area S/B,1195,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Park Near Tarcutta Creek,203,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wallagaraugh Rest Area N/B,362,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Long Paddock Visitors Site,3025,OTHER,,,PARKING AREA,,LIGHT VEHICLES ONLY
Milpara Rest Area,243,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Stoney Creek,1155,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,777,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
West of Nevertire,1055,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Garoolgan Rest Area,1472,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Emergency Phone Site,1421,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Narrabri Tourist Information Centre,1181,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Goulburn Bypass S/B,4,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Reedy Creek Rest Area,455,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Tycannah Rest Area  S/B,1174,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Gratwick VC Rest Area,332,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dogtrap Gully Inspection Bay N/B,1197,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
Chinamans Bend,1026,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Capertee.,563,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
The Black Swamp,909,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Bredbo Rest Area (Centennial Park),3215,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Mail Route Rest Area,264,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1351,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Cornish Rest Area,1746,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Elong Elong Village,1775,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Nowendoc Rd,1157,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1745,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Sawyers Hill Kiandra,368,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mt Tomah Rest Area,817,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Dead Horse Gap,397,NATIONAL PARKS AND WILDLIFE SERVICE,,,PARKING AREA,,LIGHT VEHICLES ONLY
Ramornie  Orara River - Tindal Bridge,1803,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1324,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Kyeamba Gap,36,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1422,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Heritage Park/Blayney,750,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
State Forest Millionth Acre Hampton,1390,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Northern approach,1375,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Bega Lookout S/B,359,COUNCIL,,,PARKING AREA,,LIGHT VEHICLES ONLY
Meadow  Glen Rest Area,1426,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Topar Road House,1321,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
The Sir Roden Cutler VC Rest Area,3285,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Billabong Creek Rest Area,1757,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Yanco Creek Rest Area,214,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1046,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Bilpin Reserve,872,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Logbook Hill Nth Marulan S/B,91,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Black Perry Lookout,3120,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Badcoe VC Rest Area,321,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Copper Hill Rest Area,1029,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Ravensworth - Eastbound,255,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Jubilee Park,3076,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
North Coonamble Town Limit,1769,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Hickeys Falls Parking Area,1764,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
St Pauls Rest Area,256,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1494,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,655,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
,1038,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Johnson,986,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Trunkey Creek,718,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Mobil Service Centre Yanderra N/B,28,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Oconnell Playground NSW Sport & Rec Org.,1387,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Curlwaa Rest Area,242,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
East of Dubbo,1776,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Service Centre Marulan S/B,92,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Heffrons Lookout,593,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1747,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
North Billabong,35,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Stopping Area Yass River,326,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Heavy Vehicle Inspection Rest Area - W/B,3008,RMS,,,REST AREA,,HEAVY VEHICLE INSPECTION
Windy CNR Birganbigal,1212,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,747,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Coffs Harbour Moonee Street Tourist Park,1851,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Pilliga Rest Area,1185,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Barry's Creek Southbound,4126,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Near Emmdale Roadhouse,1750,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Cowra Olympic Park,1214,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Federation Park - Kootingal,1968,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Parking Area Yarra,334,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Benanee Lake,3110,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1241,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Mt Lambie Scenic,1362,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Rocks Hill,1021,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Paddys Rest,509,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Bilpin Information Centre,875,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Parking near Lake Williams S/B,3207,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Mullengandra Rest Area,103,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Birdcage Rest Area,232,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Trangie Park next to Gowan Water Hole,1048,OTHER,,,PARKING AREA,,LIGHT VEHICLES ONLY
NW approach Coolabah Southeast bound,1101,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Rest Area 2km West of Borambola Rd Nth,204,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Kiama Bends Information Bay N/B,341,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1110,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Sallys Cnr Service Centre S/B,87,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
