RestAreaNumber,RestAreaName,CategoryID,SuburbID,Description,DistanceFrom,RoadNumber,RoadName,Latitude,Longitude,Accessible,BabyChangeFacilities,Bbq,BoatRamp,CaravanDisposal,DriverReviver,EmergencyPhones,FoodAvailable,FuelAvailable,LitterBins,Lighting,Lookout,PetsAllowed,PicnicTable,Playground,PowerOutlets,PowerSupply,Shade,Shelter,SideOfRoad,SiteStatus,SportsGround,Toilets,TouristInformation,TreeShading,VehicleType,WaterSupplyType,ResponsibleAuthority
1164,Kiga Bore Rest Area S/B,2,342,,55.5km North of Moree,17,NEWELL HIGHWAY,-29.03578,150.05719,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1165,Kiga Bore Rest Area N/B,2,342,,55.1km North of Moree,17,NEWELL HIGHWAY,-29.03819,150.05347,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1167,Gil Gil Creek Rest Area S/B,2,342,,38.4km North of Moree,17,NEWELL HIGHWAY,-29.18249,150.00993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,RIGHT,,FALSE,0,FALSE,TRUE,HEAVY VEHICLES ONLY,NONE,RMS
1168,Gil Gil Creek Rest Area N/B,2,342,,38.4km North of Moree,17,NEWELL HIGHWAY,-29.18251,150.00923,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,0,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1169,Gwyder River Parking Area,3,342,,9.7km North of Moree,17,NEWELL HIGHWAY,-29.41182,149.91956,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1170,Boolooroo Rest Area,2,342,,7.9km North of Moree,17,NEWELL HIGHWAY,-29.42011,149.90399,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,0,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1171,Camurra Truck Inspection Bay S/B,5,342,,7.4km North of Moree,17,NEWELL HIGHWAY,-29.42244,149.89847,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,0,FALSE,FALSE,HEAVY VEHICLES ONLY,NONE,RMS
1172,Camurra Truck Inspection Bay N,5,342,,7.3km North of Moree,17,NEWELL HIGHWAY,-29.42219,149.8983,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,HEAVY VEHICLES ONLY,NONE,RMS
1173,Webb Oval Park Moree,2,342,,North Moree Webb Ave,12,BALO ST,-29.45717,149.8439,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,RIGHT,,FALSE,0,FALSE,TRUE,LIGHT VEHICLES ONLY,TOWN SUPPLY,COUNCIL
1174,Tycannah Rest Area  S/B,2,342,,16.4km South of Moree (Heber ST),17,NEWELL HIGHWAY,-29.59968,149.81184,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,RIGHT,,FALSE,0,FALSE,TRUE,LIGHT VEHICLES ONLY,NONE,RMS
1175,Tycannah Rest Area N/B,2,342,,16.5km South of Moree (Heber St),17,NEWELL HIGHWAY,-29.59984,149.8103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,0,FALSE,TRUE,LIGHT VEHICLES ONLY,NONE,RMS
1177,Tookey Creek Rest Area,2,344,,48.2km South of Moree,17,NEWELL HIGHWAY,-29.87416,149.78867,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,RIGHT,,FALSE,2,FALSE,TRUE,LIGHT VEHICLES ONLY,RAINWATER TANK,RMS
1178,Woolabrar Rest Area. Near Bellata,2,344,,48.8km North of Narrabri,17,NEWELL HIGHWAY,-29.90474,149.7907,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,0,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
